transaction_id,account_id,customer_id,merchant_name,store_name,card_number,card_type,card_expire_date,transaction_type,transaction_status,amount,currency,terminal_currency,timestamp_initiated,timestamp_completed,failure_reason_code,failure_description,retry_count,device_id,ip_address,geo_location,is_voided,settlement_status,voided_timestamp,banking_charge,settled_amount,settlement_timestamp,created_by,created_at,is_anomaly,anomaly_type,has_high_amount,has_long_duration,has_odd_hour,has_expiring_card,has_geo_far,rule_anomalies,is_anomaly_suspected_supervised,transaction_duration,settlement_delay_days,currency_mismatch_flag,status_fail_flag,charge_percent,amount_per_minute,iso_anomaly,iso_score,is_anomaly_suspected_UnSupervised,iso_anomaly_reason
20339578-3832-48c0-8c3c-1bc063b9097b,bd2c19ea-7feb-4ff0-93d9-4b82355e34e0,2e656fa6-4b64-402e-a489-8106ca503f40,Landry Group,Group,213138668315626,AMEX,11/2029,OFFLINE,FAILED,3523.03,USD,USD,2025-08-02T09:54:27,2025-08-02T11:01:27,RnbB,Leader table save machine.,2,a342cc81-524e-4b75-924b-8db30a888eed,206.167.249.227,"44.7915,165.2628",0,NOT SETTLED,,35.23,3487.8,2025-08-03T11:01:27,jake97,2025-08-11T09:53:29.298968,False,NORMAL,False,True,False,False,False,long_duration,False,67.0,1.0,0,1,0.009999914846027424,52.50417287630403,False,91.60784517635797,False,normal
1f795b29-daa8-4279-b003-a499c26f3816,565b22fd-26ef-403e-bc14-36c1542eebdb,920f81e7-9a26-4885-b535-49593513814c,Mitchell-Castro,PLC,375545111341849,AMEX,08/2026,OFFLINE,FAILED,1892.0,EUR,USD,2025-07-16T15:10:40,2025-07-16T15:29:40,jLMK,Such sit play experience close few drop brother.,2,c68d3111-4d7e-4fdb-bafb-35c07d2c2a65,152.228.184.240,"31.8469,132.7246",0,SETTLED,,18.92,1873.08,2025-07-17T15:29:40,llucas,2025-08-11T09:53:29.305234,False,NORMAL,False,False,False,False,False,none,False,19.0,1.0,1,1,0.01,99.05759162303664,False,97.86239853803426,False,normal
f867eda3-1f52-4df7-8711-f25e71a6783f,9a7d1e24-933c-4d2e-8a20-4b230c1cd950,e5f85fb8-2d18-478c-ae57-bb990fdfeefc,Torres PLC,Group,4105780013150,AMEX,04/2027,OFFLINE,FAILED,4489.27,EUR,INR,2025-07-28T12:03:09,2025-07-28T13:58:09,TEpb,Million lawyer walk voice human.,1,bc02e938-9e18-4e58-b63c-703a14ecf5f7,111.76.123.91,"45.4356,71.7873",0,SETTLED,,44.89,4444.38,2025-07-29T13:58:09,melissa44,2025-08-11T09:53:29.312480,False,NORMAL,True,True,False,False,False,long_duration,False,115.0,1.0,1,1,0.009999398565913835,39.00321459600348,False,86.31187965467764,False,normal
68878642-3580-4f05-a468-2c84e1cc9ebe,1d657926-cde9-4c47-b0bc-8f6ad5e2fa9e,4d261e2d-0a67-48f6-a408-f96f6630e92b,Le Group,and Sons,374576588770344,VISA,04/2026,ONLINE,FAILED,4815.93,INR,USD,2025-07-13T14:39:58,2025-07-13T16:39:58,sLDv,Cold other husband season poor plan series.,2,fa525d17-808f-4ee3-bfbb-8a4f3cf610ef,109.35.41.47,"-2.8910,-54.4180",0,NOT SETTLED,,48.16,4767.77,2025-07-15T16:39:58,justin40,2025-08-11T09:53:29.314002,False,NORMAL,True,True,False,False,False,long_duration,False,120.0,2.0,1,1,0.010000145350949867,40.099333888426315,True,76.92110430020792,True,normal
d29d2e9c-439e-49f7-a4b4-c92e214c64eb,fe36803b-ae17-462b-a36a-c35a68f5ed2f,324bfef6-407b-4901-8acf-0f1baaabc700,White and Sons,Inc,4002862037316604,VISA,04/2026,ONLINE,FAILED,833.48,USD,INR,2025-07-27T15:22:18,2025-07-27T15:37:18,zukr,Fly modern PM difference western relationship play.,2,ed072429-9849-427a-ab47-7c16d535ddb2,172.225.85.182,"-72.5906,-88.2348",0,SETTLED,,8.33,825.15,2025-07-27T15:37:18,michael94,2025-08-11T09:53:29.315441,False,NORMAL,False,False,False,False,True,geo_far,False,15.0,0.0,1,1,0.009994241013581609,55.19735099337748,False,85.59458603524006,False,normal
e3f292ad-6354-4f18-a904-8f8d4ba257ce,82920de2-a6d2-45fb-9148-7648b39a4384,a70f9078-958c-43c9-9e2b-8e1bffe47c1c,Hunter Inc,Inc,180024579634272,VISA,05/2028,ONLINE,FAILED,3843.41,USD,USD,2025-08-03T22:19:46,2025-08-03T23:49:46,UfTc,Onto consider wall leg safe laugh.,2,59653aef-8767-41f9-ba24-402a4237bd4a,194.205.31.66,"-62.5873,51.1715",0,SETTLED,,38.43,3804.98,2025-08-04T23:49:46,kimmitchell,2025-08-11T09:53:29.316977,False,NORMAL,False,True,False,False,False,long_duration,False,90.0,1.0,0,1,0.009998933238972683,42.65715871254162,False,87.68514817065042,False,normal
5d2e65ad-be5e-4441-9627-38ef268e7834,496a9b64-2485-46c9-a7ae-cdb3841decc8,345ea7e6-45f3-47d8-ad30-08704be068ee,Hernandez Ltd,Group,4746448927800,MASTERCARD,05/2027,ONLINE,FAILED,2190.62,USD,EUR,2025-08-09T06:33:34,2025-08-09T06:48:34,naKV,Discussion money car improve state.,2,aafd3842-831d-446d-8f39-c868837a9639,134.3.102.67,"-24.5867,-142.7237",0,SETTLED,,21.91,2168.71,2025-08-10T06:48:34,rogersheather,2025-08-11T09:53:29.318418,False,NORMAL,False,False,False,False,False,none,False,15.0,1.0,1,1,0.010001734668723923,145.07417218543046,False,94.99529734934609,False,normal
68f92ab7-f9b6-4eed-bd25-48d127b4784c,7ffbaf51-d413-44b6-b922-0912b4ec9ac3,647e424a-cae5-42b9-86ee-e1950bdee187,Wright Inc,Ltd,4933379551853155,RUPAY,11/2026,ONLINE,FAILED,134.19,USD,EUR,2025-07-24T02:47:08,2025-07-24T04:01:08,bIKD,Free option win spring way company best.,3,1018955f-a036-4a37-9714-3b40f74b3133,188.231.153.12,"-79.0112,-12.3037",0,NOT SETTLED,,1.34,132.85,2025-07-26T04:01:08,sheryl53,2025-08-11T09:53:29.319784,False,NORMAL,False,True,True,False,False,odd_hour,False,74.0,2.0,1,1,0.009985840971756466,1.810931174089069,True,64.06065651646456,True,normal
35410296-ade1-487b-9784-60817da11453,a812a723-2c99-4a75-bd22-9a144adf34a0,d6ef6b4c-ef78-4944-b391-aee724fb3d80,"Johnson, Warren and Roberts",Inc,4052012000368088,RUPAY,03/2029,ONLINE,FAILED,148.93,EUR,EUR,2025-07-28T01:31:02,2025-07-28T02:04:02,ancy,Feeling situation technology ago.,0,94e821d6-c2e6-4fcc-b540-1dab30d4365a,205.46.100.24,"41.1800,-128.0210",0,NOT SETTLED,,1.49,147.44,2025-07-29T02:04:02,rodneyvincent,2025-08-11T09:53:29.320865,False,NORMAL,False,False,True,False,False,odd_hour,False,33.0,1.0,0,1,0.010004700194722353,4.499395770392749,True,65.60252937727499,True,normal
03a4ecf1-f74a-4500-a18b-012db4e50995,6eba6323-1089-4e86-9307-e1286a132605,27625a6e-e5fe-49c0-b8ba-5ebb847241e3,"Gutierrez, Hernandez and Snyder",PLC,372746448119923,MASTERCARD,01/2028,OFFLINE,FAILED,171.18,USD,USD,2025-07-26T00:27:27,2025-07-26T01:22:27,MeBq,System somebody production PM.,3,9bb0b34b-e4a3-4e4e-a800-67c5f128b541,168.131.219.17,"59.1841,69.0740",0,NOT SETTLED,,1.71,169.47,2025-07-27T01:22:27,danielyoung,2025-08-11T09:53:29.321947,False,NORMAL,False,False,True,False,False,odd_hour,False,55.0,1.0,0,1,0.009989484752891692,3.106715063520871,True,65.84704654587637,True,normal
