transaction_id,account_id,customer_id,merchant_name,store_name,card_number,card_type,card_expire_date,transaction_type,transaction_status,amount,currency,terminal_currency,timestamp_initiated,timestamp_completed,failure_reason_code,failure_description,retry_count,device_id,ip_address,geo_location,is_voided,settlement_status,voided_timestamp,banking_charge,settled_amount,settlement_timestamp,created_by,created_at,is_anomaly,anomaly_type
028da96f-a6bf-4116-a89b-68647f1aa8a9,71c289d5-12de-4ffc-b81d-f510cdf60a4a,de74743f-7116-4d8c-8e61-64b1da2db59e,Butler-Jones,and Sons,4737446961054761,AMEX,01/2030,ONLINE,FAILED,2442.71,EUR,INR,2025-08-20T20:14:48,2025-08-20T20:34:48,GPQd,Need claim ability read war foot large.,2,df68c433-41d6-43aa-b3dd-0fc93f4bf333,24.166.110.131,"-68.9059,-105.5208",False,SETTLED,,24.43,2418.28,2025-08-22T20:34:48,martinezlisa,2025-09-01T13:10:48.810535+00:00,False,NORMAL
cd3e9515-8e44-4214-8f50-97b28d76bd1d,9479e0c2-1a19-4ad3-ac11-5233814d508f,3fc4c620-e632-4ff0-a94e-e93189845cda,Stokes PLC,LLC,347368710557532,VISA,12/2028,ONLINE,FAILED,3018.66,INR,USD,2025-08-31T04:12:36,2025-08-31T05:12:36,isqc,By environment tree yes above.,1,319afe60-478b-41d5-92e7-a519b14133da,99.174.169.189,"-25.7361,-26.5053",False,NOT SETTLED,,30.19,0.0,,traceywilliams,2025-09-01T13:10:48.867920+00:00,True,currency_mismatch
d55cd665-b3c6-4470-ba8a-6fc5ad583905,b673a812-3476-4e3b-841b-2c9faf38e360,be853ab5-ff1d-461d-896e-fe75186157e8,Walters-Wu,Ltd,4644683300534184,RUPAY,05/2028,ONLINE,FAILED,1343.04,USD,USD,2025-08-16T13:35:17,2025-08-16T14:28:17,sccE,Treat evening operation.,1,ce8a0f8e-e6cd-4ba8-9123-72dc9b60a51d,200.253.19.65,"-15.9555,69.5042",True,NOT SETTLED,2025-08-17T01:28:17,13.43,1208.74,2025-08-18T14:28:17,matthewcooper,2025-09-01T13:10:48.855372+00:00,True,voided_but_not_settled
283ccf09-a791-41bf-8117-23bf168bd1a7,97037802-2cbc-4bca-b889-bda7ba827fd3,a7237b49-6ecd-419c-979c-746ca6d5fac4,"Bowman, George and Phillips",LLC,3516388919233809,RUPAY,08/2027,OFFLINE,FAILED,4290.91,INR,INR,2025-08-09T20:26:15,2025-08-09T22:18:15,cMad,Detail rich wonder lose respond not board sure.,0,0ce1ef02-da2f-4f5e-b97b-f9bc15d9c839,35.56.254.150,"-9.1160,-172.8021",False,NOT SETTLED,,42.91,4076.36,,kdavis,2025-09-01T13:10:48.845321+00:00,True,amount_mismatch
e401019d-65b5-467b-b916-c290353aff2d,91a9f6ce-0a0e-4d47-a09d-5fbca552ca97,29af63ef-b48e-475b-8918-5043d5fb7797,Cohen Group,LLC,4840908525830,RUPAY,12/2025,OFFLINE,FAILED,1252.2,USD,EUR,2025-08-19T02:00:05,2025-08-19T03:07:05,qItN,Source left per pretty.,0,bacdbd0e-19dc-4da7-bc92-13b28af0fc1e,211.134.232.161,"-89.0798,-10.8125",False,SETTLED,,12.52,1239.68,2025-08-19T03:07:05,wmoody,2025-09-01T13:10:48.860973+00:00,True,duplicate_transaction
88f0f22e-9234-4825-94ab-ddf32dd95fa5,5d4c8e91-5445-46a1-b363-4d300913559c,8e09afc7-34ad-4f70-b2a5-58ac6c6df167,"Sellers, Mason and Lynch",PLC,564926781977,MASTERCARD,09/2026,ONLINE,FAILED,814.86,USD,INR,2025-08-11T14:36:42,2025-08-11T15:10:42,bVsG,Sea skill poor.,2,574a812c-7de2-4f6b-99c2-c97c88ba0a72,6.118.39.215,"65.0499,54.6757",False,SETTLED,,8.15,806.71,2025-08-12T15:10:42,troymorgan,2025-09-01T13:10:48.852643+00:00,True,currency_mismatch
a5c872f3-d798-4f3b-8f85-76a5a2ad52aa,1a54bcd7-7a20-4f19-9744-2147b944bf99,560d8595-5859-4529-b76c-df376e4ea546,Kaiser-Melton,Group,4917669224607248,RUPAY,06/2027,OFFLINE,FAILED,2038.04,EUR,USD,2025-08-18T07:57:04,2025-08-18T08:42:04,xDDF,Last behavior head control.,3,32f9c491-331f-44eb-a72d-911ee2e19dc4,135.239.248.220,"89.9403,15.4975",True,NOT SETTLED,2025-08-18T11:42:04,20.38,1834.24,2025-08-20T08:42:04,gail32,2025-09-01T13:10:48.870829+00:00,True,voided_but_not_settled
999b7494-2c74-4531-a0fb-4052498d3547,00f75ef3-2e48-4244-b5dc-e725402da237,398e38d3-be47-43b9-b60f-966d3f921e23,"Garcia, Heath and Mccall",Group,4679705321310639831,AMEX,04/2030,OFFLINE,FAILED,1600.11,USD,USD,2025-08-08T17:50:15,2025-08-08T18:11:15,MXzr,Vote camera all performance raise.,0,0a4d7de9-dd2d-49e4-abeb-fedc73eacdea,200.250.149.41,"82.5841,-90.5230",False,SETTLED,,16.0,0.0,2025-08-13T18:11:15,ronalddoyle,2025-09-01T13:10:48.864709+00:00,True,late_settlement
08f6d149-4550-4d84-aed2-a9a49cf778ae,96e3816a-f8dd-4a7f-8e0b-86d6b6351367,cbf6271b-e1ea-4751-a217-b2e87d00f2ab,"Olson, Collins and Hall",LLC,676154251463,MASTERCARD,04/2028,ONLINE,FAILED,4191.94,USD,EUR,2025-08-12T09:53:42,2025-08-12T11:17:42,ICMf,Off several economic customer receive us end.,3,c294821e-cf03-4ec7-8437-b0d057b21fe3,218.112.232.158,"-18.1591,45.8229",False,NOT SETTLED,,41.92,0.0,,sandersrita,2025-09-01T13:10:48.812977+00:00,False,NORMAL
1d6def3b-f698-47a3-b6a6-2410b8e40db7,75e5dd68-0323-4dfd-9b66-ce9f0f15c676,c5dc25d1-9f3d-41c6-a056-a9652d3a0cf7,Phillips-Johnson,PLC,4573612318016,MASTERCARD,12/2025,OFFLINE,FAILED,1344.51,INR,EUR,2025-08-31T01:06:33,2025-08-31T01:45:33,zsBq,Across environmental before support write.,3,7ffe7c2f-75e8-42a4-b4e4-2d5473e17af1,38.192.86.4,"-22.0168,46.2387",False,SETTLED,,13.45,1331.06,2025-09-02T01:45:33,jensenleslie,2025-09-01T13:10:48.829793+00:00,False,NORMAL
